Region,PA,N,Month,Season,Year,ID,Act_score,Impact_sco,ImpactS_t1,ImpactS_t2,ImpactS_t3,ImpactS_t4,ImpactS_t5,Area,PercentBLW,Fal,Roe,Red,CWD,Mun,Sik,FCNE
South East,NA,1,3,Spring,2014,7040,3,3,NA,NA,NA,NA,NA,6.329380114,0.80,1,1,0,0,1,1,0
East of England,Suffolk,1,9,Autumn,2017,2046,4,4,3,NA,NA,NA,NA,6.38745723,0.98,1,1,0,0,1,0,1
East of England,Suffolk,1,12,Autumn,2018,2046,3,3,NA,NA,NA,NA,NA,6.38745723,0.98,1,1,0,0,1,0,1
East of England,Suffolk,1,3,Spring,2014,2046,3,3,NA,NA,NA,NA,NA,6.38745723,0.98,1,1,1,0,1,0,1
East of England,NA,1,9,Autumn,2016,7355,5,5,NA,NA,NA,NA,NA,6.450592135,0.98,1,0,1,0,1,0,0
East of England,NA,1,9,Autumn,2016,7397,4,4,NA,NA,NA,NA,NA,6.465466646,0.71,1,1,0,0,1,0,0
East of England,NA,1,3,Spring,2015,7397,3,3,NA,NA,NA,NA,NA,6.465466646,0.71,1,1,0,0,1,0,0
East of England,NA,1,3,Spring,2016,7397,4,NA,NA,NA,NA,NA,NA,6.465466646,0.71,1,1,0,0,1,0,0
East of England,NA,1,3,Spring,2009,7129,5,5,NA,3,NA,NA,5,6.492840555,0.98,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2011,7129,3,3,NA,NA,5,4,NA,6.492840555,0.98,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2014,7129,3,5,4,NA,NA,NA,NA,6.492840555,0.98,1,1,1,1,1,0,0
East of England,NA,1,3,Spring,2015,7129,3,4,NA,NA,NA,NA,NA,6.492840555,0.98,1,1,1,1,1,0,0
Wales,NA,1,3,Spring,2015,7039,4,5,NA,NA,NA,NA,NA,6.541092018,0.92,1,1,0,0,0,0,0
East of England,NA,1,3,Spring,2014,7202,1,1,NA,NA,NA,NA,NA,6.549334556,0.97,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2014,7344,1,3,NA,NA,NA,NA,NA,6.549597167,1.02,1,1,1,0,1,0,0
East of England,NA,1,3,Spring,2015,7625,5,5,NA,NA,NA,NA,NA,6.623571549,0.83,1,0,0,0,1,0,0
North West,Cumbria,1,9,Autumn,2013,2497,3,4,NA,NA,NA,NA,NA,6.633932804,0.82,0,1,1,0,0,0,1
North West,Cumbria,1,3,Spring,2013,2497,3,5,NA,NA,NA,3,1,6.633932804,0.82,0,1,1,0,0,0,1
